,video_id,video_title,upload_date,view_count,like_count,comment_count
0,DOtPOfeyJ4Q,Confronting the seller of a questionable Kobe autograph,2022-11-02,781610,62761,447
1,ZrZVTAdSMl8,Do experts think my cheap Kobe autograph is real?,2022-11-01,113539,9483,57
2,_DcZFOirIDE,Anyone need a new camera?,2022-11-01,40723,3162,3230
3,JVHboSk65-k,I asked collectors if my cheap Kobe autographs are real,2022-10-31,971564,78562,70
4,nxy-A8auW9U,Unboxing a $400 Kobe autographed ball (real?),2022-10-28,501415,46803,70
5,IzbqWW52D6Y,I bought a $400 Kobe autographed basketball (sus?),2022-10-28,1469829,135524,88
6,pNbLkQV3OkQ,Is the cheapest Kobe autographed ball online real?,2022-10-26,2103937,141783,220
7,i-EGeo6iLx0,I bought the cheapest Kobe autographed ball online,2022-10-26,455423,30172,68
8,DfapVOpJdks,How much gold I found in $100 Amazon pay dirt,2022-10-20,1835207,110940,606
9,iwe3SuNkXbg,I bought $500 worth of G-Shock￼￼ watches,2022-10-14,1162979,75225,1536
10,JZvrStxx2Z8,I manufactured Yeezy sunglasses from scratch,2022-10-12,455182,33210,203
11,2iq9yJ_ptso,I paid artists $200 to turn Yeezys into sunglasses (foam runners),2022-10-11,1871976,143156,213
12,LidHyLEYw14,I Turned Yeezy Sneakers Into Sunglasses,2022-10-06,9368,478,70
13,luDrIsXN2GI,How I profited off the fidget spinner craze,2022-10-04,3004250,197699,260
14,PwAp8AaiOFU,Easy Amazon side hustle - sell books with no words #ad,2022-10-03,48959,3325,30
15,JSLsY0YdHrY,I made a 3D printed 500k YouTube play button,2022-10-01,49641,4279,39
16,Yb8PBOMEKiE,Make $1700 A Month Selling Books On Amazon - Easy Side Hustle - No Writing Required,2022-09-28,10834,680,90
17,5fwdTOSCHXg,How to make $200 a day with a drone,2022-09-23,1729501,123892,814
18,_v9TxKu5eHU,My best finds at the thrift store (as a reseller),2022-09-17,96751,6046,67
19,i3PhipDbJec,These boring glasses made me thousands online,2022-09-14,91084,8983,32
20,2bMxiKefjHw,Testing the world’s brightest flashlight OUTSIDE,2022-09-08,229984,16588,135
21,j1u40MkqNZo,I bought the brightest flashlight in the world ($700),2022-09-07,109407,6937,53
22,yELjMWa7Lq0,Unboxing the brightest flashlight in the world ($700),2022-09-07,50759,3611,35
23,WWvX_Ls1zd8,Picking the winner of the MacBook…,2022-09-05,53219,3890,59
24,oaoEYpKUaEA,I paid an artist $20 to turn Yeezy sneakers into sunglasses,2022-09-01,4234596,317273,645
25,7VuYOkPG4AE,I got a gadget filled mystery box in the mail #shorts #sponsored,2022-08-31,211944,16214,154
26,eSuFxZErf-c,The unfortunate truth of many US “factories”,2022-08-29,200262,10788,62
27,yYqWz-v9frA,Valuing the gold I found in Amazon pay dirt,2022-08-24,625339,52224,255
28,3-V00ElEXig,How much gold I found in Amazon pay dirt,2022-08-23,5827039,248207,778
29,7H0SC3a1J10,Is Gold Pay Dirt A Good Side Hustle?,2022-08-22,1844903,117969,420
30,_ysQw7k675o,I Bought Gold Pay Dirt And Made $______,2022-08-19,37322,1582,230
31,9-_qO9MfTso,How much my money making hotspot has made,2022-08-18,866417,64077,246
32,AdMYj6_5PpA,He sold me fake Pokémon cards… maybe?,2022-08-12,421491,21197,493
33,wIKBjVd8Yrw,He had 0 viewers… so I sent him $ for bitcoin,2022-08-11,157334,8667,87
34,Rd5XQOrUSio,Revealing My Entire Pokémon Investment,2022-08-08,2756855,115333,830
35,1rST6dPtfcQ,I tested the midnight Walmart side hustle,2022-08-05,1837882,71427,686
36,NeY88HMi5wA,I started a clothing brand for under $100 #shorts #ad,2022-08-04,188385,14119,98
37,G2ZwJE4Jm7U,saying goodbye…,2022-08-03,215543,16707,2622
38,MeR0neyhrEw,How much iPhone box costs to make in USA vs. China,2022-07-30,5546984,325141,5859
39,Feeh8hMClDU,How she started a $10mil per year “side hustle”,2022-07-28,180821,10472,116
40,sV76wNjPiuU,I Tried The Amazon Affiliate Side Hustle (how much I made),2022-07-27,385224,29550,99
